n	potential_hex	potential	recurrence_upper	gap_lower	ratio_upper	evaluations
201	0x1.26d6a256d21ecp+14	18869.658534319999	18866.981610520656	2.6769237993430575	0.46705919492883846	1136669
202	0x1.29c48e8b66d0fp+14	19057.13920365	19054.434515613008	2.7046880369925925	0.46704095685839631	1144771
203	0x1.2cb62fd7af652p+14	19245.546721211002	19242.813672664204	2.7330485467973626	0.46702290085202275	1152918
204	0x1.2fab863c5b364p+14	19434.881089615999	19432.119999007769	2.7610906082300057	0.46700502426028462	1161017
205	0x1.32a491b9eafb7p+14	19625.142310783001	19622.352931326484	2.7893794565170533	0.46698732446836427	1169184
206	0x1.35a15250e756cp+14	19816.330386747999	19813.512209096116	2.8181776518831607	0.4669697989147894	1177317
207	0x1.38a1c80206037p+14	20008.445320219002	20005.598513216082	2.8468070029193764	0.46695244510301309	1185497
208	0x1.3ba5f2cdd4ac1p+14	20201.487113307001	20198.611695714491	2.8754175925096201	0.46693526057015083	1193627
209	0x1.3eadd2b4d8a91p+14	20395.455767998999	20392.551516847019	2.9042511519801333	0.46691824289734679	1201812
210	0x1.41b967b79af2ap+14	20590.351286336001	20587.417644612739	2.9336417232625531	0.46690138971283462	1209971
211	0x1.44c8b1d6ca49p+14	20786.173670921999	20783.210192139213	2.9634787827853866	0.46688469870223054	1218177
212	0x1.47dbb112fd665p+14	20982.922924003	20979.930170168405	2.9927538345946227	0.46686816758639654	1226353
213	0x1.4af2656cbeab6p+14	21180.599047641001	21177.57573741657	3.0233102244310426	0.46685179412464467	1234582
214	0x1.4e0ccee493d7ap+14	21379.202043828998	21376.149145823856	3.0528980051421963	0.46683557611645132	1242798
215	0x1.512aed7b065b9p+14	21578.731914615	21575.649356446938	3.0825581680619503	0.46681951140324512	1251047
216	0x1.544cc130ab54cp+14	21779.188662221	21776.075885750943	3.1127764700577241	0.46680359786996323	1259252
217	0x1.57724a062f916p+14	21980.572289222	21977.4296329112	3.1426563107997931	0.46678783344776931	1267521
218	0x1.5a9b87fc1cb56p+14	22182.882797669001	22179.710025779386	3.1727718896145229	0.46677221609437353	1275742
219	0x1.5dc87b12f91adp+14	22386.120189564001	22382.917265176889	3.2029243871111244	0.46675674380359056	1283996
220	0x1.60f9234b5a354p+14	22590.284467133999	22587.050590868912	3.233876265087019	0.46674141461020674	1292218
221	0x1.642d80a5cd03bp+14	22795.375632480002	22792.111189858279	3.2644426217229916	0.46672622658176555	1300489
222	0x1.67659322d21aap+14	23001.393687518001	22998.098600114983	3.2950874030175323	0.46671117781669519	1308726
223	0x1.6aa15ac3060acp+14	23208.338634580999	23205.012235363705	3.3263992172942376	0.46669626645581058	1317043
224	0x1.6de0d786ec6ddp+14	23416.21047563	23412.853104438735	3.3573711912649737	0.46668149066545767	1325324
225	0x1.7124096f11523p+14	23625.009212752	23621.620569037052	3.3886437149485569	0.46666684864695324	1333638
226	0x1.746af07c10e17p+14	23834.734848274002	23831.314420313305	3.4204279606965424	0.4666523386379906	1341914
227	0x1.77b58cae5f125p+14	24045.387383924	24041.935538827187	3.4518450968134853	0.46663795889545712	1350229
228	0x1.7b03de06a86e5p+14	24256.966822273	24253.483459679028	3.4833625939718327	0.46662370772301104	1358498
229	0x1.7e55e48559acdp+14	24469.473164940999	24465.957687224709	3.5154777162897513	0.46660958343549908	1366802
230	0x1.81aba02b2104dp+14	24682.906414524001	24679.359139052263	3.5472754717375206	0.46659558439553889	1375080
231	0x1.850510f8685c1p+14	24897.266572600001	24893.687348071489	3.5792245285119857	0.46658170897471951	1383420
232	0x1.886236ede63bdp+14	25112.553641889001	25108.941701927713	3.6119399612871343	0.46656795559395448	1391742
