host,sum_y,sum_y2,sum_m2,distinct,overlap_0,overlap_1,overlap_2,overlap_3,overlap_4,overlap_5,overlap_6,overlap_7,overlap_8,target0_y,target0_y2,target0_hit,target1_y,target1_y2,target1_hit,target2_y,target2_y2,target2_hit,target3_y,target3_y2,target3_hit
69,11750,18512,1494194,9124,8,50,164,508,880,1208,3944,0,11750,0,0,0,0,0,0,0,0,0,0,0,0
70,4572,7426,3502382,3430,0,4,40,194,398,378,1840,0,4572,1,1,1,0,0,0,0,0,0,0,0,0
71,7707,11041,2243526,6255,0,42,252,464,760,770,1046,0,7707,0,0,0,0,0,0,0,0,0,0,0,0
72,3973,5099,5915128,3481,0,0,8,38,230,354,496,0,3973,0,0,0,0,0,0,0,0,0,0,0,0
73,7313,11985,2314902,5393,0,12,56,192,476,988,2948,0,7313,0,0,0,0,0,0,0,0,0,0,0,0
74,9386,13298,1626720,7722,0,4,74,270,622,1254,1688,0,9386,0,0,0,0,0,0,0,0,0,1,1,1
75,4771,6169,3441288,4124,2,16,36,50,120,152,1022,0,4771,0,0,0,0,0,0,0,0,0,0,0,0
76,8674,12664,1563712,7044,2,14,122,286,656,1130,1780,0,8674,0,0,0,0,0,0,0,0,0,0,0,0
77,5283,7043,3255094,4476,2,2,24,58,148,1024,502,0,5283,0,0,0,0,0,0,0,0,0,0,0,0
78,3499,4915,7333036,2907,0,0,12,68,266,332,738,0,3499,0,0,0,0,0,0,1,1,1,0,0,0
79,7461,11077,2304248,5915,0,8,76,348,630,644,1910,0,7461,0,0,0,0,0,0,0,0,0,0,0,0
80,6041,8561,3036556,4928,0,8,28,134,466,856,1028,0,6041,0,0,0,0,0,0,0,0,0,0,0,0
81,5961,7655,2636854,5208,0,8,48,130,252,584,672,0,5961,0,0,0,0,0,0,0,0,0,0,0,0
82,5763,7983,2561178,4828,0,4,38,158,418,630,972,0,5763,0,0,0,0,0,0,0,0,0,0,0,0
83,8679,11325,1791050,7482,0,16,48,206,528,1036,812,0,8679,0,0,0,0,0,0,1,1,1,1,1,1
84,9122,13396,2302678,7279,0,54,272,532,760,1018,1638,0,9122,0,0,0,0,0,0,0,0,0,0,0,0
85,8582,11788,1857316,7187,0,22,124,250,738,1334,738,0,8582,0,0,0,0,0,0,0,0,0,0,0,0
86,6188,8436,2955830,5214,2,20,46,184,282,726,988,0,6188,0,0,0,0,0,0,0,0,0,0,0,0
87,8857,15203,2314390,6156,0,8,134,538,1194,1578,2894,0,8857,0,0,0,0,0,0,0,0,0,0,0,0
88,9262,12708,1480230,7752,0,20,128,342,592,976,1388,0,9262,0,0,0,0,0,0,0,0,0,0,0,0
89,7711,12189,2339246,5949,0,10,76,334,642,976,2440,0,7711,0,0,0,0,0,0,0,0,0,0,0,0
90,5796,6960,2668170,5278,0,12,58,144,248,324,378,0,5796,3,9,1,0,0,0,1,1,1,0,0,0
91,11622,17730,1615482,9012,6,44,252,812,1426,1878,1690,0,11622,1,1,1,1,1,1,2,4,1,1,1,1
92,6840,9712,3056396,5581,0,30,110,318,582,968,864,0,6840,0,0,0,0,0,0,0,0,0,0,0,0
93,11587,19865,1871304,8449,0,8,212,988,2226,2624,2220,0,11587,0,0,0,1,1,1,2,4,1,0,0,0
94,10380,14950,1494022,8371,2,16,70,322,698,806,2656,0,10380,0,0,0,0,0,0,0,0,0,0,0,0
95,8530,10920,2000008,7426,0,4,96,450,676,550,614,0,8530,1,1,1,1,1,1,0,0,0,0,0,0
96,4298,6570,3680304,3352,0,4,10,86,276,664,1232,0,4298,0,0,0,0,0,0,0,0,0,0,0,0
97,8433,9663,2324438,7833,0,10,44,88,276,432,380,0,8433,0,0,0,0,0,0,0,0,0,0,0,0
98,10254,15528,1579210,8071,2,24,150,474,1246,1762,1616,0,10254,0,0,0,1,1,1,1,1,1,0,0,0
99,13007,17367,1430280,10996,0,12,186,742,1120,1000,1300,0,13007,0,0,0,0,0,0,0,0,0,0,0,0
100,5786,8556,4205962,4630,0,6,36,94,348,1054,1232,0,5786,0,0,0,0,0,0,0,0,0,1,1,1
101,8285,10857,1820520,7109,0,4,26,186,422,940,994,0,8285,0,0,0,0,0,0,0,0,0,0,0,0
102,9515,13675,1597724,7816,4,24,124,368,688,1836,1116,0,9515,0,0,0,0,0,0,1,1,1,1,1,1
103,11654,17566,1593254,9061,0,34,236,734,884,1804,2220,0,11654,0,0,0,0,0,0,0,0,0,0,0,0
104,13128,22378,1630756,9907,8,148,614,1232,1708,2218,3322,0,13128,0,0,0,1,1,1,0,0,0,0,0,0
