host,sum_y,sum_y2,sum_m2,distinct,overlap_0,overlap_1,overlap_2,overlap_3,overlap_4,overlap_5,overlap_6,target0_y,target0_y2,target0_hit,target1_y,target1_y2,target1_hit,target2_y,target2_y2,target2_hit,target3_y,target3_y2,target3_hit
249,48,48,198,48,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
250,25,29,376,23,0,0,0,0,4,0,25,0,0,0,0,0,0,0,0,0,1,1,1
251,30,32,336,29,0,0,0,0,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0
252,28,30,344,27,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0
253,30,30,320,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
254,52,62,216,47,0,0,0,2,8,0,52,0,0,0,0,0,0,0,0,0,0,0,0
255,45,45,194,45,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
256,29,29,324,29,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
257,24,24,454,24,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
258,39,41,256,38,0,0,0,0,2,0,39,0,0,0,0,0,0,0,0,0,0,0,0
259,45,45,204,45,0,0,0,0,0,0,45,0,0,0,0,0,0,1,1,1,0,0,0
260,40,40,272,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
261,67,79,156,61,0,0,0,0,12,0,67,0,0,0,0,0,0,0,0,0,0,0,0
262,24,24,406,24,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
263,30,30,326,30,0,0,0,0,0,0,30,0,0,0,1,1,1,0,0,0,0,0,0
264,13,13,720,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
265,64,68,148,62,0,0,0,2,2,0,64,0,0,0,1,1,1,0,0,0,0,0,0
266,45,47,212,44,0,0,0,0,2,0,45,0,0,0,0,0,0,0,0,0,0,0,0
267,58,60,162,57,0,0,0,0,2,0,58,0,0,0,0,0,0,0,0,0,0,0,0
268,32,34,320,31,0,0,0,0,2,0,32,0,0,0,1,1,1,0,0,0,0,0,0
269,52,52,180,52,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
270,40,40,230,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
271,28,30,344,27,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0
272,58,64,192,55,0,0,0,2,4,0,58,0,0,0,0,0,0,0,0,0,0,0,0
273,28,28,324,28,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
274,20,20,678,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
